id,Multitasking (Montasker -- Multitasker),Breadth (Specialist -- Generalist),Collaboration (Solo Creator -- Collaborator),Confidence (Self-Critical -- Self-Assured),Focus (Distractible -- Focused),Inspriation Source (Inward -- Outward),Creative Reasoning (Rational -- Intuitive),Motivation (Internal -- External),Movement (NonKinetic -- Kinetic),Organization (Controlled Chaos -- Organized),Pace (Slow -- Fast),Perfectionism (Pragmastist -- Perfectionist),Risk (Risk Averse -- Risk Loving),Stategy (Make It Happen -- Let It Happen),Tactic (Tenacious -- Reframer),Workspace (Private -- Public),Noise (Silence -- Noise/Music),Nature (Urban -- Nature),Ritual (Novetly Seeker -- Creature of Habit),Constraints (Stifle By -- Stimulated By),Creative Biorhythm,Gender,Age,Discipline
565e4530781f5ee40d833a9f,,,,,,,,,,,,,,,,,,,,,,,,
565e59e4781f5ee40d833cd1,1,1,1,1,3,3,,,,,,,,,,,,,,,,,,
565e5d3420c5b5f009a6b964,3,4,3,,,,,,,,,,,,,,,,,,,,,
565e663620c5b5f009a6ba14,1,2,2,1,3,3,,,,,,,,,,,,,,,,,,
565e6dd2781f5ee40d833e80,3,3,2,4,5,5,4,,,,,,,,,,,,,,,,,
565e700e20c5b5f009a6bb22,2,3,2,3,4,3,3,3,5,3,1,3,3,3,,,,,,,,,,
565e777920c5b5f009a6bbe0,,,,1,3,5,3,,,,,,,,,,,,,,,,,
565e7f59781f5ee40d83402d,1,1,1,3,3,3,,,,,,,,,,,,,,,,,,
5613af5175df45da6f20d9ee,,,,,,,,,,,,,,,,,,,,,,,,
565eff4e20c5b5f009a6c169,5,5,1,,,,,,,,,,,,,,,,,,,,,
5591d78bd24963570129405f,,,,,,,,,,,,,,,,,,,,,,,,
565f346a781f5ee40d83492c,3,2,4,2,4,4,5,,,,,,,,,,,,,,,,,
565f4ef9781f5ee40d8351cc,1,5,1,,,,,,,,,,,,,,,,,,,,,
56607d0420c5b5f009a6fc47,5,5,4,2,,,,,,,,,,,,,,,,,,,,
565e010a781f5ee40d8334b0,2,2,3,1,1,4,1,4,3,5,1,2,5,5,3,1,5,4,5,3, Afternoon | Evening ,Male,20,
565e0123781f5ee40d8334b5,3,5,5,3,5,3,5,3,5,4,3,3,4,2,3,2,1,5,1,2, Evening | After Midnight| Morning ,Male,27,GraphicDesign|Art|Photography
565e0214781f5ee40d8334e5,3,5,5,1,3,4,4,3,2,5,1,5,1,2,1,1,1,1,5,3, Evening | Afternoon | After Midnight,Male,26,Photography|Film/Television|Editing|Directing|Art
565e037a20c5b5f009a6b14b,3,5,2,2,5,2,5,2,3,5,5,4,5,2,4,1,2,5,4,3, After Midnight| Evening | Afternoon ,,,
565e0299781f5ee40d8334f4,3,3,4,4,2,1,4,4,3,4,4,3,4,4,4,3,3,1,3,4, Afternoon | Evening ,Male,23,Conservation|Editing|Directing|Design|Photography|Sports|Spirituality
565df6e420c5b5f009a6aee9,1,3,4,2,5,3,4,3,2,4,2,4,3,2,3,2,3,3,4,1, Morning | Afternoon | After Midnight,,,
565e0494781f5ee40d83351c,3,2,2,2,5,5,4,4,5,4,3,5,3,2,2,2,2,5,2,1, Morning |Pre Dawn ,Male,18,Sports|Writing|Spirituality|Science|PolicyWork|Photography|Music|Literature|Food|GreenEnergy|Environment|Exploration|Ecology|Business|Author
565e055220c5b5f009a6b171,2,2,1,1,5,4,2,3,5,5,3,4,5,3,4,2,2,4,4,3, Evening | After Midnight,Male,20,Art|Activism|Medicine|Sports|Writing
565e059b20c5b5f009a6b17e,3,4,3,2,3,5,3,3,3,4,2,4,3,2,2,3,3,2,1,2, Afternoon | Evening ,,,
565e05d720c5b5f009a6b18c,4,5,3,2,2,2,5,2,5,1,2,3,3,5,3,5,5,5,1,3, Afternoon | Evening | After Midnight| Morning |Pre Dawn ,Male,25,Art|Acting|Activism|Agriculture|Astronomy|Botany|Dance|CulinaryArts|DJ|Design|Entrepreneurship|Environment|Exploration|GraphicDesign|Food|GreenEnergy|HumanRights|Invention|Maker|Music|Neuroscience|Photography|QuantamPhysics|Singer|Sculpture|Spirituality|Sports|Sustainability|Technology|Theater|VisualArt
565e068b20c5b5f009a6b1b1,2,3,4,5,5,3,4,5,5,5,4,1,2,2,4,4,3,4,2,2, Evening ,,,
565e0745781f5ee40d833574,3,3,4,2,4,4,2,4,4,5,2,2,2,3,2,2,4,3,4,3, Morning | Afternoon | After Midnight,Male,23,Art|Dance|DJ|Music
565e093b781f5ee40d83359a,5,4,2,1,3,1,5,2,4,2,4,4,4,4,4,1,4,5,1,3, After Midnight| Evening ,Male,23,Biology|Art|Chemistry|Genetics|Healthcare|HumanBiology|Invention|Medicine|Music|Neuroscience|Physics|Research|Science|Singer|VisualArt
565e05aa20c5b5f009a6b183,2,4,2,3,4,4,3,4,5,5,4,5,2,2,2,2,2,3,4,4, Evening | After Midnight,Male,29,Technology|Science|Entrepreneurship|Exploration|Archeology
565e0940781f5ee40d83359d,3,3,1,3,4,5,1,5,3,4,3,3,4,2,3,1,1,2,5,3,Pre Dawn | Morning ,Female,41,
565e097820c5b5f009a6b1eb,2,5,4,1,1,1,5,1,3,3,5,1,5,3,3,5,3,3,3,1, After Midnight,Male,26,Art|Film/Television|Music|VisualArt
565e0946781f5ee40d8335a1,2,2,2,2,3,2,1,4,4,5,2,3,4,2,4,2,2,4,4,2, Morning |Pre Dawn ,Male,26,Acting|Author|CulinaryArts|Astronomy|Directing|Editing|Education|Exploration|Film/Television|Food|Journalism|Law|Literature|Music|Producer|Sports|Tourism|Writing
565e0a9c781f5ee40d8335d3,3,5,2,4,4,4,3,2,2,4,5,2,2,1,4,2,3,1,5,4, Evening | After Midnight| Afternoon ,,,
565e0b0620c5b5f009a6b221,1,2,4,2,4,2,3,2,3,4,2,2,5,2,2,2,4,3,2,2, After Midnight| Afternoon ,Male,20,DJ|GraphicDesign|HardwareEngineering |Music|Producer
565e0c4c20c5b5f009a6b25b,4,4,2,1,1,3,5,2,4,3,4,3,2,4,3,2,5,5,2,4, After Midnight|Pre Dawn | Evening ,Female,22,Art|Activism|Design|Editing|Education|Entrepreneurship|Environment|Exploration|Fashion|Film/Television|Food|Genetics|HumanRights|Literature|NGO/Non-Profit|Politics|Research|SocialEnterprise|Tourism|Writing|VisualArt
565e0c2220c5b5f009a6b254,3,4,2,3,5,2,1,5,5,2,2,3,2,1,2,1,3,5,5,4, Evening | After Midnight,Male,20,
565e0da3781f5ee40d833637,4,5,5,5,4,2,3,2,5,2,5,4,5,4,4,3,2,5,4,4, Morning | Evening | After Midnight,Male,32,Music|I am also a psychological researcher. Creating experiments and hypothesis
565e0a66781f5ee40d8335cd,3,5,1,2,4,2,4,1,3,3,5,1,4,3,2,1,2,4,2,2, After Midnight|Pre Dawn | Evening ,Male,20,Art|Acting|Architecture|Business|Composer|Dance|Entrepreneurship|Exploration|Music|Singer|Spirituality|Sports|VisualArt
565e0cfe20c5b5f009a6b272,2,4,2,3,3,4,4,2,4,4,2,1,2,3,2,1,3,5,2,3, Evening |Pre Dawn | Morning ,Male,19,Design|Film/Television|GraphicDesign|Photography|Technology|Sustainability|VisualArt
565e0e6120c5b5f009a6b295,3,2,4,1,2,5,2,4,4,1,3,2,4,3,4,1,2,2,1,4, After Midnight| Evening ,Male,,Maker|Sports|Writing|Photography
565e13d220c5b5f009a6b2c4,2,4,1,1,2,5,3,1,4,3,2,4,3,3,2,1,4,5,3,2, Afternoon | Evening ,Male,27,Sports|Education|Engineering
565e122620c5b5f009a6b2b2,5,3,4,2,3,3,3,3,5,4,2,4,4,5,3,3,3,3,2,3, Afternoon | Evening ,Male,27,Art|Astronomy|Architecture|Bioengineering|Business|Composer|Design|Education|Engineering|Entrepreneurship|Food|Genetics|GraphicDesign|Invention|HumanRights|Music|Photography|Robotics|Spirituality|Technology|Writing|Zoology
565e1427781f5ee40d83367f,4,3,2,1,5,4,5,4,4,4,2,4,3,4,3,1,3,3,1,1, Afternoon | Evening ,Male,45,Editing|Film/Television|GraphicDesign|Photography|Producer
565e14d9781f5ee40d8336a2,2,2,1,5,3,5,1,5,5,5,3,5,2,2,5,2,2,3,3,4, Evening | After Midnight| Afternoon ,Female,23,Architecture|Astronomy|Business|Chemistry|DJ|Fashion|Genetics|GraphicDesign|Law|Literature|Medicine|Music|Neuroscience|Photography|Physics|Politics|Robotics|Science|Sports|Sustainability
565e14d420c5b5f009a6b2e5,3,5,4,1,1,5,3,2,4,2,3,5,1,1,2,4,3,4,5,4, Evening | After Midnight| Morning ,Male,25,Author|Education|Entrepreneurship|Food|Spirituality|Clergy
565e149b781f5ee40d833693,3,5,2,1,5,5,5,1,2,2,1,4,2,4,4,1,4,5,4,4, After Midnight,Male,33,Entrepreneurship
565e159a20c5b5f009a6b30f,2,2,1,3,2,5,1,4,2,5,4,5,1,2,2,1,2,4,4,3, Evening ,,,
565e1569781f5ee40d8336be,2,4,2,1,5,3,2,3,4,3,5,5,2,2,2,2,4,3,2,3, Afternoon ,Male,30,Author|Business|Design|Education|Entrepreneurship|GraphicDesign|Research|Technology|Writing
565e16cc781f5ee40d8336f0,5,3,4,5,2,3,4,4,3,3,3,4,4,3,3,3,4,4,2,4, Evening | Morning ,Male,22,Design|Art|GraphicDesign
565e192f20c5b5f009a6b34f,3,5,4,2,4,2,4,5,2,5,4,5,2,2,4,1,4,4,1,2, After Midnight| Evening | Afternoon ,,,
565e19c120c5b5f009a6b35a,3,5,2,1,1,1,4,2,5,2,2,4,2,2,5,3,4,4,1,2, Evening ,,,
565e1b41781f5ee40d833731,3,3,2,4,2,4,1,2,2,4,2,3,2,4,4,2,1,4,2,2, Afternoon | Evening | After Midnight,Female,23,Art|Author|Design|Editing|GraphicDesign|Journalism|Literature|SocialEnterprise|VisualArt|Writing
565e190b20c5b5f009a6b34a,1,3,3,1,5,1,4,3,5,5,2,3,5,4,5,1,2,5,5,1, After Midnight,,,
565e1bb220c5b5f009a6b37e,3,5,3,3,4,3,4,4,5,5,3,5,4,3,2,2,3,4,2,2, After Midnight| Morning | Afternoon ,Male,26,Design|Editing|Film/Television|GraphicDesign|Journalism|Photography|Sports|Writing
565e20bd20c5b5f009a6b3a2,2,3,4,3,5,4,5,5,5,5,4,5,5,5,5,1,3,1,5,1, After Midnight| Evening ,Male,29,
565e208120c5b5f009a6b39b,3,3,2,4,2,4,2,5,5,4,3,3,5,3,4,5,5,4,1,2, Afternoon | Evening ,Male,22,Business|Entrepreneurship|Food|Photography
565e217120c5b5f009a6b3b8,5,2,2,3,1,5,2,1,4,4,4,3,5,4,2,2,4,2,1,1, Evening | After Midnight| Afternoon ,,,
565e21f020c5b5f009a6b3cf,4,3,2,2,2,5,5,4,5,2,3,4,2,4,3,1,4,4,4,4, Afternoon ,Male,38,Editing|Law
565e22ff781f5ee40d83379a,1,5,3,2,4,4,3,3,3,1,5,1,4,4,4,1,5,5,4,3,Pre Dawn | Morning | Afternoon | Evening | After Midnight,,,
565e246620c5b5f009a6b3f9,5,5,1,2,2,3,5,5,4,1,5,5,2,4,2,1,5,2,3,2, After Midnight,,,
565e247a781f5ee40d8337b3,1,5,3,2,5,3,3,4,5,4,4,5,5,4,2,2,4,5,5,4, Morning | Afternoon ,,,
565e254f781f5ee40d8337ce,4,1,1,1,4,4,4,4,1,4,4,2,2,4,2,1,1,1,4,4, Morning ,Male,20,Music
565e25fd20c5b5f009a6b41f,5,4,4,2,2,5,2,4,3,5,3,3,3,4,3,4,3,5,2,3, Morning | Afternoon ,Female,31,Film/Television|Music|Producer
565e2637781f5ee40d8337dd,3,5,4,1,3,5,4,1,5,4,5,3,4,3,5,2,4,5,1,4, Evening | After Midnight| Morning ,Female,31,Entrepreneurship
565e26b720c5b5f009a6b43a,4,3,3,2,1,2,5,5,4,3,4,3,4,5,4,3,1,4,1,2, Afternoon ,,,
55b1157d787defd029b69da3,,,,,,,,,,,,,,,,,,,,,,,,
565e26ce20c5b5f009a6b441,5,5,4,3,4,2,2,2,5,3,4,4,4,3,5,1,4,2,1,5, Evening ,Male,21,Architecture|Design|Maker|Sculpture
55c37d37083d035407168310,,,,,,,,,,,,,,,,,,,,,,,,
565e26bf781f5ee40d8337f0,2,5,3,1,3,3,4,4,5,5,4,1,3,3,3,2,2,5,3,3, After Midnight| Afternoon | Evening ,Male,24,Activism|Agriculture|Archeology|Architecture|Astronomy|Astrophysics|Author|Bioengineering|Biology|Botany|Business|Chemistry|Composer|CulinaryArts|Design|Directing|DJ|Ecology|Education|Engineering|Entrepreneurship|Environment|Exploration|Food|Genetics|GreenEnergy|HardwareEngineering |HumanBiology|HumanRights|Invention|Journalism|Maker|Medicine|Music|Neuroscience|NGO/Non-Profit|OpenSource|Paleontology|Photography|Physics|QuantamPhysics|Research|Science|Sculpture|Spirituality|SpokenWord|Sports|Sustainability|SustainableDesign|Technology|Tourism|VisualArt|Zoology|any that helps achieve balance
565e2991781f5ee40d83383f,5,5,2,3,3,5,4,4,3,1,5,5,1,2,4,1,2,3,1,3, Morning | After Midnight,Female,29,Art|Design|GraphicDesign|Music|Photography|Singer
55de48ad8eda9beb35e5d9ba,3,4,2,3,4,2,2,2,3,4,3,5,3,3,2,1,2,3,2,2, Morning ,Male,46,Music|Singer
565e29e020c5b5f009a6b4ab,3,5,3,5,1,4,5,3,5,5,5,4,4,4,1,1,3,4,2,2, Morning | Evening ,Male,29,Entrepreneurship
565e2bcf781f5ee40d833881,2,5,3,2,2,5,3,4,4,4,3,2,4,4,5,3,2,4,2,3, Morning ,,,
565e2b81781f5ee40d833875,3,2,4,1,3,2,2,5,4,2,1,2,4,3,3,3,4,4,4,4, After Midnight|Pre Dawn | Morning | Afternoon | Evening ,Male,20,Business|Food|Sports
565e291420c5b5f009a6b489,5,5,1,5,1,5,5,5,5,5,5,1,5,5,1,1,5,5,1,1, Afternoon | Evening | After Midnight,Male,28,Art|Acting|Architecture|Astronomy|Biology|Business|Dance|Design|DJ|Education|Engineering|Entrepreneurship|Exploration|Fashion|Film/Television|Genetics|Invention|Literature|Medicine|Music|Photography|Physics|Politics|Robotics|Science|Sculpture|SocialEnterprise|Technology|Theater|Tourism|VisualArt|Writing|Zoology
565e2a6b781f5ee40d83385c,2,4,3,3,5,3,2,3,5,4,3,3,3,3,2,2,2,4,3,3, Afternoon | After Midnight| Evening | Morning ,Male,28,Art|Author|Composer|CulinaryArts|Design|Directing|Editing|Education|Exploration|Fashion|Film/Television|Food|GraphicDesign|Journalism|Literature|Music|Photography|Producer|Spirituality|Sports|Tourism|Writing
565e2df6781f5ee40d8338b3,4,4,1,1,3,2,4,2,2,4,5,4,3,4,4,2,4,3,2,1, Evening | After Midnight,Male,20,Biology|Medicine|Music|Neuroscience|Science|Writing
565e2ce2781f5ee40d83389c,5,5,5,4,3,3,3,3,4,4,4,5,4,4,3,1,2,3,4,4, Afternoon | Evening ,Female,46,Author|Design|GraphicDesign|Producer|Writing|Strategist
565e2e21781f5ee40d8338bc,2,2,1,1,5,3,2,2,4,5,1,5,2,1,3,2,4,4,3,1, Morning | Evening |Pre Dawn ,Male,33,Art|Author|Food|Journalism|Photography|Spirituality
565e2d7f20c5b5f009a6b501,1,1,1,1,5,1,2,4,3,3,2,3,4,3,2,1,1,1,5,2, After Midnight,,,
565e2f07781f5ee40d8338d6,1,3,3,1,5,4,1,4,2,1,3,2,1,3,2,1,4,1,3,4, After Midnight| Afternoon ,Female,18,Author|Film/Television|Journalism|Music|Writing
565e3141781f5ee40d8338fb,1,3,1,1,3,4,1,4,3,5,4,1,1,1,1,1,5,1,4,4, After Midnight| Evening ,Male,20,Business
565e348020c5b5f009a6b56b,2,4,3,2,4,2,4,3,4,4,4,4,2,3,4,1,3,3,2,3, After Midnight| Evening | Afternoon | Morning |Pre Dawn ,,,Acting|Composer|Conservation|Dance|Directing|Design|Film/Television|Editing|Invention|Journalism|Music|Neuroscience|Photography|Producer|Singer|SustainableDesign|Sustainability|Theater|Writing
565e33f220c5b5f009a6b556,2,3,1,2,4,4,3,4,4,3,2,4,1,2,2,1,3,3,4,3, Afternoon ,Female,41,Art|Bioengineering|Design|Fashion|HumanBiology|Photography|Research|Sculpture|Science|SmartMaterials|Technology|VisualArt|Writing
565e346d20c5b5f009a6b567,2,4,3,1,1,5,2,1,5,1,4,5,1,4,3,1,1,2,1,1, After Midnight,,,
565e33d4781f5ee40d83390d,2,5,2,1,3,4,4,1,5,1,2,3,5,1,5,3,3,3,3,1,Pre Dawn | Morning | Afternoon | Evening | After Midnight,Male,30,Education|GraphicDesign|Photography|VisualArt
565e354b781f5ee40d83394d,3,2,1,1,4,4,1,5,2,5,1,4,1,2,2,1,3,1,2,5, Afternoon | Morning ,Female,20,Music
565e17eb781f5ee40d833703,3,2,3,4,3,2,2,4,4,4,4,4,4,2,4,4,3,3,2,2, Afternoon | Evening ,Male,19,psychology
565e36c420c5b5f009a6b5b7,1,3,1,1,2,3,5,1,5,3,3,5,5,3,1,1,5,4,1,1, After Midnight,Male,20,Engineering
55b5f68df43099823d68cdb0,2,2,2,2,4,3,2,1,5,2,4,4,4,4,1,3,3,4,5,2, Morning ,Male,23,Art|GraphicDesign|VisualArt
565e3513781f5ee40d833940,5,5,4,1,5,5,5,3,1,2,5,3,2,4,4,2,2,5,1,4, After Midnight|Pre Dawn | Morning ,Male,19,Art|Activism|Author|Composer|DJ|Editing|Education|Environment|Film/Television|HumanRights|Journalism|Invention|Literature|Music|Photography|Producer|Singer|Spirituality|Sustainability|Writing
565e383720c5b5f009a6b5ec,3,4,4,4,4,4,4,4,4,2,2,3,4,4,4,4,2,3,2,4, Evening ,Male,25,Design|Writing|VisualArt|SoftwareEngineering|Research|Producer|NGO/Non-Profit|Entrepreneurship|Education
565e382c781f5ee40d8339a3,5,5,3,1,4,3,3,4,4,1,5,5,5,5,5,3,4,3,1,3, After Midnight| Evening | Afternoon ,,,
565e37f820c5b5f009a6b5e1,2,2,1,2,4,4,3,4,5,2,1,2,1,2,3,1,3,1,4,3, After Midnight| Evening | Afternoon ,Male,21,SoftwareEngineering
565e388b781f5ee40d8339bd,3,5,5,4,2,1,3,3,2,5,4,4,5,4,2,2,1,5,5,1, Evening | Afternoon | After Midnight,Female,,
